
         3      2422         0         1
       223 3.399419744000000+1 3.000000000000000+1 0.000000000000000+0
       224 3.299399744000001+1 3.000000000000000+1 0.000000000000000+0
       225 3.199379744000000+1 3.000000000000000+1 0.000000000000000+0
       226 3.099359744000001+1 3.000000000000000+1 0.000000000000000+0
       227 2.999339744000001+1 3.000000000000000+1 0.000000000000000+0
       228 2.899319744000001+1 3.000000000000000+1 0.000000000000000+0
       229 2.799299744000001+1 3.000000000000000+1 0.000000000000000+0
       230 2.699279744000001+1 3.000000000000000+1 0.000000000000000+0
       231 2.599259744000001+1 3.000000000000000+1 0.000000000000000+0
       232 2.499239744000001+1 3.000000000000000+1 0.000000000000000+0
       233 2.399219744000001+1 3.000000000000000+1 0.000000000000000+0
       234 2.314808084039238+1 3.000000000000000+1 0.000000000000000+0
       235 2.210458027795975+1 3.000000000000000+1 0.000000000000000+0
       236 2.099159744000001+1 3.000000000000000+1 0.000000000000000+0
